fulcrum_id,latitude,longitude,name_of_surveyor,date_of_survey,type_of_disaster,site_id,project,photos,photos_caption,photos_url,total_damage_rating,gps_pin,street_address_sub_thoroughfare,street_address_thoroughfare,street_address_suite,street_address_locality,street_address_sub_admin_area,street_address_admin_area,street_address_postal_code,street_address_country,street_address_full,building_use,building_use_other,number_of_stories,age_yrs,attached_garage,roof_shape,roof_shape_other,roof_cover_format,roof_cover_format_other,roof_cover_material,roof_cover_material_other,roof_framing,roof_framing_other,structural_wall,structural_wall_other,wall_covercladding,wall_covercladding_other,structure_elevated,height_above_grade,shuttersstorm_panels,hurricane_clips,damage_cause,damage_cause_other,roof_cover_dmg,roof_sheathing_dmg,roof_framing_dmg,wall_cover_dmg,wall_sheathing_dmg,wall_framingstructure_dmg,windows_dmg,garage_door_dmg,patio_doors_dmg,entry_doors_dmg,structure_usable,notes,qc_id,qc_code,qc_notes
4d6b22ac-30cc-4eed-8d1f-c43a05bf9f0a,27.830907,-97.068989,Steve Cai,9/15/2017,Hurricane,HH-091517-S0004-SC,CMMI-1266418,4d18a6fb-4f45-4a3a-b1f4-dc1ca183c6ba,,https://web.fulcrumapp.com/photos/view?photos=4d18a6fb-4f45-4a3a-b1f4-dc1ca183c6ba,3=Severe,,528,S 7th St,,Port Aransas,Nueces,TX,78373,US,528 S 7th St Port Aransas Nueces TX 78373 US,Single Family,,1,,no,Gable,,Shingles,,Asphalt,,Wood,,Wood Frame,,Wood Siding,,yes,10,yes,n/a,Wind,,0%,0%,0%,25%,0%,0%,0%,n/a,n/a,no,yes,n/a,BW,2a,Confirmed damage information. Could not find age of structure
c0ab4431-4554-4ed9-8555-f92b953c8e36,27.83096,-97.068159,Douglas Allen,9/15/2017,Hurricane,HH-091517-S0008-DA,CMMI-1266418,"833d3aa7-e371-4437-8ead-5e839724b54f,5b2f5852-d8b1-41a1-a820-0db79dc13a0d,c8f472e7-2f89-4a56-bb3d-de5e9a988f8e,1088e973-5d10-45bb-a27d-0cc7fa041f0b,b5c0cdb4-8927-4746-9fd8-081d5fc92396,5a43746b-2889-453f-b419-9a41429c957f,9b612a0e-68fa-4db5-85fa-fffabccf48ca,18927786-095f-4e4c-b42e-e93d5a355955,d8b85c7e-f51a-46e9-94bf-83e941954b04,d263e5c1-6851-459d-8d04-906a4513ccd0,4f7d97d5-22dd-4b85-82fc-ff642d8145eb",",,,,,,,,,,",https://web.fulcrumapp.com/photos/view?photos=833d3aa7-e371-4437-8ead-5e839724b54f%2C5b2f5852-d8b1-41a1-a820-0db79dc13a0d%2Cc8f472e7-2f89-4a56-bb3d-de5e9a988f8e%2C1088e973-5d10-45bb-a27d-0cc7fa041f0b%2Cb5c0cdb4-8927-4746-9fd8-081d5fc92396%2C5a43746b-2889-453f-b419-9a41429c957f%2C9b612a0e-68fa-4db5-85fa-fffabccf48ca%2C18927786-095f-4e4c-b42e-e93d5a355955%2Cd8b85c7e-f51a-46e9-94bf-83e941954b04%2Cd263e5c1-6851-459d-8d04-906a4513ccd0%2C4f7d97d5-22dd-4b85-82fc-ff642d8145eb,4=Total,,509,S 7th St,,Port Aransas,Nueces,TX,78373,US,509 S 7th St Port Aransas Nueces TX 78373 US,Single Family,,1,42,no,Gable,,Shingles,,Asphalt,,Wood,,Wood Frame,,Wood Siding,,yes,10,no,no,"Wind,Surge",,100%,100%,100%,100%,100%,100%,100%,n/a,no,yes,no,"Rod system at 6' on center. No clips, loss total roof. No continuous load path.",BW,2a,Confirmed construction and damage information. Combined with another record from DL
c2d85661-b2ed-4517-b223-ceb3cfb4b219,27.830291,-97.068753,Daan Liang,9/15/2017,Hurricane,HH-091517-S0003-DL,CMMI-1266418,"b15ab900-fd86-4004-9ae5-819e1f8edb2d,fcccfc4d-fc30-43a5-9dad-32f05c357664,70ce0af5-ab90-4995-ae7e-203312410c64,1fe6b2ad-e7d8-4a2f-adc0-2d7cc861e964",",,,",https://web.fulcrumapp.com/photos/view?photos=b15ab900-fd86-4004-9ae5-819e1f8edb2d%2Cfcccfc4d-fc30-43a5-9dad-32f05c357664%2C70ce0af5-ab90-4995-ae7e-203312410c64%2C1fe6b2ad-e7d8-4a2f-adc0-2d7cc861e964,1=Minor,,325,W Ave F,,Port Aransas,Nueces,TX,78373,US,325 W Ave F Port Aransas Nueces TX 78373 US,Single Family,,1,32,no,Complex,,Shingles,,Asphalt,,Wood,,Wood Frame,,Wood Siding,,no,,no,no,"Wind,Surge",Debris,10%,0%,0%,0%,0%,0%,0%,no,n/a,yes,yes,Outside ac unit damaged ,BW,2a,Updated damage information 
56f26135-df86-4410-96e7-f4ba9423bbea,27.830552,-97.068401,Daan Liang,9/15/2017,Hurricane,HH-091517-S0004-DL,CMMI-1266418,"cfdd23a4-61ec-41f9-b101-85cacc2d012d,ccd71b86-5a86-4194-b22a-812dd001fdda,83284484-84b0-487c-82c1-2a454fa850b3,ef289c7f-709a-4888-b182-8fa3cb26f146",",,,",https://web.fulcrumapp.com/photos/view?photos=cfdd23a4-61ec-41f9-b101-85cacc2d012d%2Cccd71b86-5a86-4194-b22a-812dd001fdda%2C83284484-84b0-487c-82c1-2a454fa850b3%2Cef289c7f-709a-4888-b182-8fa3cb26f146,1=Minor,,525,S 7th St,,Port Aransas,Nueces,TX,78373,US,525 S 7th St Port Aransas Nueces TX 78373 US,Single Family,,1,8,no,Hip,,Shingles,,Asphalt,,Wood,,Wood Frame,,Hardie Board Siding,,no,,yes,n/a,"Tree,Surge",,5%,0%,0%,0%,0%,0%,0%,n/a,n/a,no,yes,Lower level was swiped away,BW,2a,Updated damage information
77e8475e-79f5-44f4-989f-e8f1ee09a753,27.830718,-97.068302,Daan Liang,9/15/2017,Hurricane,HH-091517-S0005-DL,CMMI-1266418,"b2869e70-46e4-4d4f-b950-ff7719a5ae5b,e8a16735-2e47-4e24-9749-13934a33a115,9a360d54-a976-48be-afb0-b569d1e6ff0d",",,",https://web.fulcrumapp.com/photos/view?photos=b2869e70-46e4-4d4f-b950-ff7719a5ae5b%2Ce8a16735-2e47-4e24-9749-13934a33a115%2C9a360d54-a976-48be-afb0-b569d1e6ff0d,3=Severe,,517,S 7th St,,Port Aransas,Nueces,TX,78373,US,517 S 7th St Port Aransas Nueces TX 78373 US,Single Family,,2,32,no,Gable,,Shingles,,Asphalt,,Wood,,Wood Frame,,Hardie Board Siding,,no,,no,no,Wind,,50%,0%,0%,25%,0%,0%,0%,n/a,no,no,yes,n/a,BW,2a,Updated construction and damage information
30f4e28e-ca26-4549-b608-87f2c3784895,27.831078,-97.068034,Daan Liang,9/15/2017,Hurricane,HH-091517-S0007-DL,CMMI-1266418,"f7c0c7d8-e8b1-4262-97d2-a5e1df413024,1bfc4616-5b68-44cb-85f0-2066b02db32b,912878df-e19c-4a59-a441-1025a95939de",",,",https://web.fulcrumapp.com/photos/view?photos=f7c0c7d8-e8b1-4262-97d2-a5e1df413024%2C1bfc4616-5b68-44cb-85f0-2066b02db32b%2C912878df-e19c-4a59-a441-1025a95939de,3=Severe,,503,S 7th St,,Port Aransas,Nueces,TX,78373,US,503 S 7th St Port Aransas Nueces TX 78373 US,Single Family,,2,37,no,Gable,,Shingles,,Asphalt,,Wood,,Wood Frame,,Hardie Board Siding,,no,,no,no,Wind,,25%,0%,0%,25%,25%,0%,25%,n/a,n/a,no,yes,Twia ,BW,2a,Updated construction and damage information
cc2b5175-8584-492b-b1e2-64b49c1875d4,27.831088,-97.068688,Steve Cai,9/15/2017,Hurricane,HH-091517-S0006-SC,CMMI-1266418,0a5ade1e-1418-4208-9ef7-3022a4248115,,https://web.fulcrumapp.com/photos/view?photos=0a5ade1e-1418-4208-9ef7-3022a4248115,0=No Damage,,516,S 7th St,,Port Aransas,Nueces,TX,78373,US,516 S 7th St Port Aransas Nueces TX 78373 US,Single Family,,1,37,no,Gable,,Shingles,,Asphalt,,Wood,,Wood Frame,,Wood Siding,,no,,no,n/a,,,0%,0%,0%,0%,0%,0%,0%,n/a,no,no,yes,n/a,BW,2a,Confirmed construction and damage information
6c0418ce-693c-403e-91d7-cbab0240be1e,27.831159,-97.068569,Steve Cai,9/15/2017,Hurricane,HH-091517-S0007-SC,CMMI-1266418,efb321b5-7a3d-48c2-bcda-ef93337625f0,,https://web.fulcrumapp.com/photos/view?photos=efb321b5-7a3d-48c2-bcda-ef93337625f0,3=Severe,,510,S 7th St,,Port Aransas,Nueces,TX,78373,US,510 S 7th St Port Aransas Nueces TX 78373 US,Single Family,,1,37,no,Gable,,Shingles,,Asphalt,,Wood,,Wood Frame,,Wood Siding,,no,,no,n/a,Wind,,50%,25%,0%,0%,0%,0%,25%,n/a,yes,yes,yes,n/a,BW,2a,Updated construction and damage information
60f936cc-b989-4c44-b571-4545bf46fe47,27.831296,-97.068399,Steve Cai,9/15/2017,Hurricane,HH-091517-S0008-SC,CMMI-1266418,"1979ab65-9a78-4527-bd1c-e420579107cf,7ff76c6c-f7dd-4e42-b1b0-2e2fc3c79d5d",",",https://web.fulcrumapp.com/photos/view?photos=1979ab65-9a78-4527-bd1c-e420579107cf%2C7ff76c6c-f7dd-4e42-b1b0-2e2fc3c79d5d,1=Minor,,504,S 7th St,,Port Aransas,Nueces,TX,78373,US,504 S 7th St Port Aransas Nueces TX 78373 US,Single Family,,2,42,no,Gable,,Shingles,,Asphalt,,Wood,,Wood Frame,,Wood Siding,,no,,no,n/a,Wind,,0%,0%,0%,0%,25%,0%,0%,n/a,n/a,no,yes,n/a,BW,2a,Confirmed construction and damage information 
f331ce0e-78e6-4d9a-bdb9-3bc0c407d99e,27.839259,-97.057087,Douglas Allen,9/15/2017,Hurricane,HH-091517-S0009-DA,CMMI-1266418,"2fd9a8b7-7b76-4e79-81cd-204a9ad62919,bd0f2c54-9039-496b-97b6-93e65f7e15a8,57c72c5b-63ad-4949-99eb-fe8b9a50e970,87b72795-5696-440a-a089-58b48c6caef5,ca52ca18-0fb7-41d0-86fb-313c41cca8b8,70248bbf-0979-46a8-86fe-149527a0b7bd",",,,,,",https://web.fulcrumapp.com/photos/view?photos=2fd9a8b7-7b76-4e79-81cd-204a9ad62919%2Cbd0f2c54-9039-496b-97b6-93e65f7e15a8%2C57c72c5b-63ad-4949-99eb-fe8b9a50e970%2C87b72795-5696-440a-a089-58b48c6caef5%2Cca52ca18-0fb7-41d0-86fb-313c41cca8b8%2C70248bbf-0979-46a8-86fe-149527a0b7bd,2=Moderate,,411,Channel View Dr,,Port Aransas,Nueces,TX,78373,US,411 Channel View Dr Port Aransas Nueces TX 78373 US,Single Family,,2,42,no,"Hip,Complex",,Shingles,,Asphalt,,Wood,,Wood Frame,,Wood Siding,,yes,,no,yes,Wind,,5%,0%,0%,25%,0%,0%,100%,n/a,yes,no,yes,n/a,BW,2a,Updated damage level from Minor to Moderate
6fb47066-d414-40d3-b4a0-b108fe0f4fdf,27.83753349,-97.05344033,Steve Cai,9/15/2017,Hurricane,HH-091517-S0009-SC,CMMI-1266418,"fcf7d452-d191-4c4f-adc7-add70105e2d0,3da146f5-dd1a-4785-8ff4-bb51cabf3b57",",",https://web.fulcrumapp.com/photos/view?photos=fcf7d452-d191-4c4f-adc7-add70105e2d0%2C3da146f5-dd1a-4785-8ff4-bb51cabf3b57,3=Severe,,707-799,Channel View Dr,,Port Aransas,Nueces,TX,78373,US,707-799 Channel View Dr Port Aransas Nueces TX 78373 US,Business,,2,,yes,Hip,,Shingles,,Asphalt,,Wood,,Wood Frame,,Vinyl Siding,,no,,no,n/a,Wind,,25%,0%,0%,50%,50%,0%,50%,n/a,n/a,yes,no,n/a,BW,2a,Updated damage levels
1d981666-e3f7-47e3-b2fb-c390163d03ba,27.837425,-97.054086,Daan Liang,9/15/2017,Hurricane,HH-091517-S0009-DL,CMMI-1266418,"1fbf7967-8ec0-4663-a7c8-32a819e8ef19,d3ab527d-a46f-4dff-a2d3-6e2a341bd340,1d1ef32c-9ab7-4c95-9168-8f78c1e716a5,9aa63239-a7f0-4b0a-b21f-356847d701dd,c8eea284-cb4d-41b7-8185-7a7988645cec",",,,,",https://web.fulcrumapp.com/photos/view?photos=1fbf7967-8ec0-4663-a7c8-32a819e8ef19%2Cd3ab527d-a46f-4dff-a2d3-6e2a341bd340%2C1d1ef32c-9ab7-4c95-9168-8f78c1e716a5%2C9aa63239-a7f0-4b0a-b21f-356847d701dd%2Cc8eea284-cb4d-41b7-8185-7a7988645cec,0=No Damage,,720,Channel View Dr,,Port Aransas,Nueces,TX,78373,US,720 Channel View Dr Port Aransas Nueces TX 78373 US,Single Family,,2,,no,Hip,,Shingles,,Asphalt,,Wood,,Wood Frame,,Wood Siding,,yes,8,no,n/a,,,0%,0%,0%,0%,0%,0%,0%,no,no,no,yes,Ac unit damaged ,BW,2a,Updated construction and damage information. No age information available
b60cfcf5-67aa-4592-8b80-2f8336f2dfac,27.837264,-97.053882,Daan Liang,9/15/2017,Hurricane,HH-091517-S0008-DL,CMMI-1266418,"4ca1d3e9-972f-4475-ab1c-f1838d157f6a,21ebea84-d116-4f6f-b6e5-148bc1087f19,b1eb3037-5b89-422d-af8a-5b2f7b944c16,a2e79c88-ab9c-4b48-8e6f-b54ae5d4cd01,24f6197c-f9c7-41eb-bca9-239a6141ef42,a2202b85-8a11-46db-999b-15d87dac3e9a",",,,,,",https://web.fulcrumapp.com/photos/view?photos=4ca1d3e9-972f-4475-ab1c-f1838d157f6a%2C21ebea84-d116-4f6f-b6e5-148bc1087f19%2Cb1eb3037-5b89-422d-af8a-5b2f7b944c16%2Ca2e79c88-ab9c-4b48-8e6f-b54ae5d4cd01%2C24f6197c-f9c7-41eb-bca9-239a6141ef42%2Ca2202b85-8a11-46db-999b-15d87dac3e9a,3=Severe,,726,Channel View Dr,,Port Aransas,Nueces,TX,78373,US,726 Channel View Dr Port Aransas Nueces TX 78373 US,Single Family,,2,15,no,Gable,,Shingles,,Asphalt,,Wood,,Wood Frame,,Hardie Board Siding,,no,,no,no,Wind,,25%,25%,25%,25%,0%,0%,50%,n/a,yes,yes,yes,n/a,BW,2a,Confirmed construction and damage information
